,word,count
1218,people,536
8238,one,507
2390,system,495
8721,would,474
543,two,454
2026,1,396
1320,”,386
9179,also,336
11498,much,312
6104,2,306
6190,many,301
13388,decision,291
10161,probability,270
575,time,269
11233,effect,267
7766,theory,239
9581,risk,238
2776,problem,235
5864,question,230
4408,good,228
2505,first,220
5782,even,218
11148,less,216
14195,experience,215
4323,know,214
10607,make,209
8744,mind,207
7026,asked,205
5160,likely,204
7659,value,202
1754,life,201
10738,loss,199
7212,new,197
12126,example,196
12724,different,187
8928,see,186
4455,information,185
13907,may,181
2958,could,178
12617,however,177
6457,answer,177
2682,choice,177
7439,chance,174
9162,well,172
5101,large,169
3731,often,168
11654,outcomes,167
2149,evidence,166
3590,psychology,164
11238,made,155
1233,another,153
5701,years,152
10954,others,152
4888,think,152
4351,cognitive,150
2106,experiment,147
12528,social,146
4813,small,145
13526,judgments,144
6911,judgment,144
8786,memory,144
1611,events,143
9100,story,143
1688,students,140
11605,journal,140
976,intuitive,138
7879,expected,135
1248,idea,135
1033,attention,134
4101,utility,132
9875,number,132
4109,words,131
13691,whether,131
3425,participants,129
11667,losses,129
13700,average,128
2707,like,127
429,b,125
8737,decisions,124
2990,course,124
151,choices,124
9487,us,124
12175,study,122
5964,event,122
13266,found,122
10397,case,121
9413,results,120
11932,research,120
9355,outcome,119
9130,little,119
3577,task,119
6032,day,119
7330,amos,117
559,mental,117
372,“the,116
10099,questions,116
7724,believe,116
8996,10,115
13283,science,115
9631,better,115
6674,aversion,115
13915,effects,115
2590,evaluation,115
8272,point,115
4730,fact,114
3786,work,114
9603,long,111
6582,set,111
12853,high,110
3054,consider,110
12335,thinking,109
8505,effort,108
12215,5,108
12139,price,108
3355,individual,105
8313,predictions,105
11894,second,104
8859,gamble,103
5504,experienced,102
11339,intuition,102
9109,making,101
8803,view,101
7891,possible,100
1049,probably,99
8593,wealth,99
2229,sure,99
2199,almost,99
11521,find,98
11290,cases,98
169,bad,98
11850,way,97
6600,group,97
11117,win,96
3959,best,95
5347,reference,94
2361,part,94
755,future,93
3387,next,93
9276,emotional,93
5905,take,93
12731,several,92
9326,heuristic,92
9841,world,92
12739,behavior,91
