,word,count
11585,fiore,1
11713,ypsomed,1
11523,clinically,1
1479,stanza,1
11447,schoar,1
11620,thрhe,1
11455,accountability,1
11552,ulrich,1
11668,shouldered,1
1504,borne,1
11753,convictions,1
1478,“estimate”,1
11448,cross,1
11509,376–,1
1595,blackjack,1
11688,erson,1
11645,“asymmetric,1
11618,exceedingly,1
11508,dazzled,1
1542,king,1
11451,personnel,1
1571,332–45,1
1471,cry,1
11452,stained,1
11522,heuristic—the,1
1592,7000,1
11749,here”,1
11454,260–67,1
11751,“21,1
1445,transporter,1
1442,three”,1
11553,extrapolating,1
11616,lamps,1
11586,foods,1
11450,outstanding—performance,1
1502,troublesome,1
1516,1–10,1
1567,refreshed,1
1482,unsupportable,1
1480,scrutiny,1
1593,foes,1
11644,arose,1
11617,depth,1
1550,framingwill,1
11569,kees,1
1439,sprayed,1
1474,charismatic,1
11516,motivate,1
11517,“forming,1
11679,credits,1
11489,“wags,1
11596,soundness,1
1489,“leak”,1
11437,map”,1
11765,digest,1
1552,entailed,1
11608,instantaneous,1
11594,disliking,1
11488,known—that,1
11593,105,1
11592,andpeo,1
11607,airconditioning,1
11650,623–28,1
1494,bigbudget,1
11767,“merely,1
11600,rounds,1
11602,freewheeling,1
11708,implications”,1
1553,bibb,1
11604,virtue,1
1476,simulating,1
1491,kool,1
1475,endorser,1
1507,eaking,1
11766,4955–61,1
1508,homunculi,1
1537,interruptions,1
1458,milieu,1
11513,transit,1
11609,soulless,1
11763,ebbe,1
11438,hand…”,1
1517,friend”,1
1457,288–300,1
1438,“finding,1
11588,succeedwhere,1
11614,woundedmountain,1
1460,brrecently,1
11442,thesize,1
1596,201–208,1
1506,acquiescent,1
1541,heavy,1
11652,bernouilli,1
11486,groupthink,1
11444,wewish,1
11685,demystification,1
11686,substantive,1
11677,“upperlower”,1
11441,oversimplified,1
11547,movingfirst,1
11613,kick,1
1568,history”,1
11759,spitzer,1
11589,educable,1
1477,airplane,1
11440,brew,1
11684,dartthrowing,1
1513,spike,1
1554,executes,1
11519,anddonald,1
11760,deriving,1
11591,peking,1
11761,uncomfortably,1
11439,grinblatt,1
1536,fork,1
1483,myers,1
1518,caruso,1
11739,reelected,1
11741,805–25,1
11501,“optimism,1
11740,stick,1
1524,316,1
11470,2013,1
11500,dowjones,1
11738,visualized,1
1547,darley,1
1448,“mpg,1
11573,do—are,1
1584,aligns,1
11736,certificate,1
1583,you—your,1
11532,117–41,1
11531,193–204,1
1452,“elected,1
11538,2231–37,1
1558,atomistic,1
11640,haul,1
11575,ucla,1
11469,dimensions”,1
11565,vanderbilt,1
1576,oase,1
11701,drowning,1
1487,“patients’,1
1465,gustavfeedback,1
11530,everpresent,1
11742,proposals,1
1469,ything,1
11663,“defining,1
11655,harmful,1
1526,unsophisticated,1
11639,heu,1
11662,“light,1
11658,910000,1
11568,honors,1
11536,“heuristic,1
11728,recording,1
11570,455–60,1
11571,irwin,1
1486,pursing,1
1495,schmimmack,1
1577,cultures,1
11636,“telling,1
11729,pofreak,1
1496,wellestablished,1
1560,285–98,1
11477,manoticeable,1
11725,monthly,1
11534,revise,1
11735,russo,1
11724,‘portfolio,1
11730,withina,1
1559,剢,1
11731,“hedonimeter”,1
11698,orderly—a,1
1579,hersh,1
11723,unnatural,1
11732,601–13,1
11733,windows,1
1580,precinct,1
11734,embrace,1
11566,simonsirrationality,1
11661,econ’s,1
11700,verb,1
11497,pooled,1
1563,hsu,1
1519,“did,1
11504,commute,1
11580,additives”,1
11692,slavery,1
11543,binomial,1
1532,indigits,1
11542,optin,1
11461,worlds,1
1523,stock”,1
11634,canoeing,1
1545,uninformed,1
11746,probabltheр“0y,1
11462,dentist”,1
11559,“moderately,1
11715,eiv,1
11503,yearend,1
11642,mature,1
11505,armour,1
11625,arena,1
11643,424–28,1
11460,passages,1
1499,otherwisortрxpere,1
11525,sensibly,1
1533,“i’ve,1
1501,fashioned,1
11727,blasphemy,1
11492,geography,1
11621,loyalty,1
11714,theorists—a,1
1520,unlinked,1
1591,psychiatrists,1
11456,fileposid“filepos726557”,1
1549,prefere,1
11626,119–27,1
11745,227,1
11716,royalsociety,1
11529,hardened,1
11576,vital,1
1565,mu,1
1529,bundles,1
11633,whatyou,1
11480,neat,1
1530,“memorybased,1
1463,“illusory,1
1488,you’ve,1
11468,opaque,1
1538,fathers,1
11562,contest”,1
11695,burglar,1
1447,familiar—this,1
1485,“lowvalidity,1
1455,qions,1
11693,admiringthe,1
11465,“institutional,1
11528,exerted,1
1566,cassar,1
11561,“love,1
11718,elaborates,1
11630,predator,1
11717,revulsion,1
11629,placebo,1
11577,c2,1
11527,manipulation—but,1
1470,veteran,1
1548,chickenordblurred,1
11627,denote”,1
1531,task—and,1
1453,dicerolling,1
5119,not”—is,1
11433,negated,1
2010,unidentified,1
2004,“yes,1
10709,spanning,1
10708,singleissue,1
10707,goodlooking,1
10706,gravitational,1
10705,psychics,1
2006,convened,1
2007,“frowning,1
10702,blessed,1
10700,enthralled,1
10696,us”,1
10750,false—and,1
10695,highdonation,1
10693,dominique,1
2011,returns”,1
10691,“sir,1
2012,demo,1
10689,dismissals,1
10688,glone,1
2013,juries,1
10686,jacowitz,1
2014,simonsohn,1
10711,hthtth,1
2003,alberta,1
10713,penny,1
2002,screamed,1
1988,catrin,1
10747,apologized,1
10746,ravenously,1
1990,853–70,1
10744,staff,1
10743,alls,1
10741,conviction,1
10740,18000000,1
10737,“threat”,1
10736,157–74,1
10733,inauthentic,1
10732,317–25,1
10728,lowrisk,1
10723,biblical,1
10722,britain,1
1996,relapses,1
10719,bellshaped,1
1999,suggestive,1
10717,untrained,1
2000,tolerance,1
10715,history—the,1
10684,7922–26,1
10683,“developments,1
2020,stellar,1
10650,confthis,1
10648,volume”,1
2040,“fundamental,1
10645,295–312,1
10644,summarizes,1
10642,discriminating,1
10641,concede,1
10640,sunstein’s,1
2042,touch—brings,1
10637,teaches,1
10636,invasive,1
2043,cal,1
2047,yourtt,1
2048,431–42,1
10632,2250,1
10631,dunce,1
10630,assistant,1
10629,tidy”,1
2052,antibiotics,1
10627,technological,1
2054,quervain,1
10624,fulfilled,1
10649,snowdon,1
2037,assured,1
2022,theanswer,1
10654,suggesting,1
10678,resulted,1
10676,learning”,1
10675,cast,1
10674,htm,1
10673,horses,1
2028,sticker,1
2029,milk,1
2030,af,1
2032,tide,1
10668,bonanza,1
10667,minuses,1
10666,9780374275631,1
10665,proving,1
10664,kimihiko,1
10663,judith,1
2035,transitivity,1
10660,tracked,1
2036,busenitz,1
10657,arepeated,1
10656,despondent,1
10655,anxious,1
10749,them—the,1
10751,cheaper,1
10888,249–92,1
10844,scorethe,1
1933,1281–92,1
10854,potelsitive,1
10853,eminently,1
10852,competed,1
1934,coworkers,1
1937,clore,1
1940,carnegie,1
10848,wholesale,1
10846,irrelevancies,1
10845,frankish,1
10840,wasinvited,1
10752,funeral,1
10839,conceptual,1
